scenario_blockchain_enabled,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_samples,timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_sample_index
true,,true,100,10,12,98.000000,5.930000,0,1134592,0.502088,6127382528.000000,6127775744,6126989312,9763935,9574367,2,0.004789590835571289,1,model_v1_1769978509_3ec172df,tx_model_v1_1769978509_3ec172df,5.2254180908203125,0,1,12,60000,QmbVBy37KJhbGQbdtqmsx4bJ2iZS8kN3yGWS4EfLHJcY1D,0.018410682678222656,model_v1_1769978509_3ec172df,9513697,92.760000,1.4629545211791992,0.309226,model_v1_1769978509_3ec172df,0
true,,true,100,10,12,98.000000,6.120000,0,1048576,0.519635,6201372672.000000,6207619072,6195126272,9681366,9531328,2,0.006708383560180664,2,model_v2_1769978559_b1fdef6c,tx_model_v2_1769978559_b1fdef6c,5.441445350646973,0,2,12,60000,QmQjXipoebTjzpB6LJnKi7zF7M18BsG8GSDZchhTMDBLb9,0.018407821655273438,model_v2_1769978559_b1fdef6c,9495194,95.650000,1.3864109516143799,0.866817,model_v2_1769978559_b1fdef6c,1
true,,true,100,10,12,98.000000,6.600000,0,1028096,0.560715,6272651264.000000,6294827008,6250475520,9673756,9529135,2,0.0052967071533203125,3,model_v3_1769978614_5e793bae,tx_model_v3_1769978614_5e793bae,5.200387716293335,0,3,12,60000,QmSfW8PMkTtjaEtTbFxgviyAwyhDdZ7Y1pBW23HtQSzqc5,0.02743363380432129,model_v3_1769978614_5e793bae,9487900,97.050000,1.190089225769043,0.809129,model_v3_1769978614_5e793bae,2
true,,true,100,10,12,98.000000,7.070000,0,20455424,0.602768,6336188416.000000,6348357632,6324019200,9620353,9531042,2,0.00957345962524414,4,model_v4_1769978658_18266879,tx_model_v4_1769978658_18266879,5.04516077041626,0,4,12,60000,QmUBnKX5LoDiPDSJZ9n5uBVyivxmLyDbtk53WK85Kwx5DQ,0.020108699798583984,model_v4_1769978658_18266879,9481880,97.680000,1.3983306884765625,0.690081,model_v4_1769978658_18266879,3
true,,true,100,10,12,98.000000,5.950000,0,970752,0.498793,6382385152.000000,6409744384,6355025920,9658252,9514727,2,0.005896806716918945,5,model_v5_1769978707_79a01222,tx_model_v5_1769978707_79a01222,4.979870080947876,0,5,12,60000,QmdMu7g6z6dx31M955YFrd53kktqQVXfGrH6RSNWdKU6Jb,0.019104957580566406,model_v5_1769978707_79a01222,9476971,97.960000,1.1791532039642334,0.648049,model_v5_1769978707_79a01222,4
true,,true,100,10,12,98.000000,6.120000,0,1204224,0.516979,6425475072.000000,6426677248,6424272896,9582176,9502590,2,0.005614519119262695,6,model_v6_1769978752_7ff8f840,tx_model_v6_1769978752_7ff8f840,5.325246810913086,0,6,12,60000,QmcDYS7fU4namiv9MULsvettr94S5cu31C3dkKRQweZ4n7,0.02617168426513672,model_v6_1769978752_7ff8f840,9472602,98.140000,1.2311296463012695,0.614097,model_v6_1769978752_7ff8f840,5
true,,true,100,10,12,98.000000,6.240000,0,1191936,0.528933,6427082752.000000,6458916864,6395248640,9685452,9527024,2,0.0060198307037353516,7,model_v7_1769978938_534d797a,tx_model_v7_1769978938_534d797a,5.120934963226318,0,7,12,60000,QmR7R2pdLs6RttfGXW5LiHxUGRdGZtfNhbA7PRyCNbf6tS,0.028666973114013672,model_v7_1769978938_534d797a,9481479,97.640000,1.160625696182251,0.670956,model_v7_1769978938_534d797a,6
true,,true,100,10,12,98.000000,6.480000,0,1196032,0.551751,6495942656.000000,6542585856,6449299456,9708392,9531282,2,0.005399942398071289,8,model_v8_1769978982_7147d19a,tx_model_v8_1769978982_7147d19a,5.129525423049927,0,8,12,60000,QmZURhhuHerZmwyGCEXudttqSLbHTzgi94VKFVJxj7dP6t,0.030988216400146484,model_v8_1769978982_7147d19a,9475089,98.030000,1.213252067565918,0.614490,model_v8_1769978982_7147d19a,7
