blockchain_service_memory_alloc_bytes (bytes),blockchain_service_memory_num_gc,blockchain_service_memory_sys_bytes (bytes),blockchain_service_memory_total_alloc_bytes (bytes),blockchain_service_timestamp,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_get_most_recent_rollback_duration (seconds),timing_blockchain_get_most_recent_rollback_found,timing_blockchain_get_most_recent_rollback_total_duration (seconds),timing_blockchain_get_provenance_duration (seconds),timing_blockchain_get_provenance_model_version_id,timing_blockchain_get_provenance_total_duration (seconds),timing_blockchain_list_models_duration (seconds),timing_blockchain_list_models_total,timing_blockchain_list_models_total_duration (seconds),timing_blockchain_record_validation_duration (seconds),timing_blockchain_record_validation_model_version_id,timing_blockchain_record_validation_total_duration (seconds),timing_blockchain_record_validation_transaction_id,timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_total_duration (seconds),timing_blockchain_register_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_duration (seconds),timing_fedavg_aggregation_total_samples,timing_ipfs_download_cid,timing_ipfs_download_context,timing_ipfs_download_duration (seconds),timing_ipfs_download_model_version_id,timing_ipfs_download_parent_version_id,timing_ipfs_download_size_bytes (bytes),timing_ipfs_download_total_duration (seconds),timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_ipfs_upload_total_duration (seconds),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_model_validation_total_duration (seconds),timing_sample_index
1285760,5,13081616,12361568,2026-02-12T20:52:20Z,caltech101,true,100,10,10,98.000000,6.310000,0,872448,0.534472,5661530112.000000,5685067776,5637992448,10042690,9836843,2,0.001641,false,0.001641,0.015089,model_v1_1770928718_c37d777f,0.015089,0.001755,1,0.001755,0.001369,model_v11_1770929534_76d2be5a,0.001369,tx_validation_model_v11_1770929534_76d2be5a,0.001455,11,model_v11_1770929534_76d2be5a,0.001455,86356a12a5d82ca04d806d8ae49482c59851ab497ed1b3efafc5bbf9ce8d2fe5,4.459792,0,11,10,4.459792,6942,QmY6phDrB9D1cmeifYXNvc6sEBmz9Ai8sEZWDTSuBSaSKs,blockchain_write,0.442926,,,9788606,0.442926,QmNznT3JUNQ5dP6TJgYc1R6AQtRHED3WXzkQmui8VgML8K,0.025649,model_v11_1770929534_76d2be5a,9776331,0.025649,35.311060,4.640731,19.533239,model_v11_1770929534_76d2be5a,4.640731,10
2879640,5,13081616,13955448,2026-02-12T20:53:37Z,caltech101,true,100,10,10,98.000000,6.420000,0,839680,0.546226,5680087040.000000,5691228160,5668945920,9944977,9817648,2,0.001396,false,0.001396,0.007084,model_v1_1770928718_c37d777f,0.007084,0.002088,1,0.002088,0.001664,model_v12_1770929611_2a0be5db,0.001664,tx_validation_model_v12_1770929611_2a0be5db,0.001361,12,model_v12_1770929611_2a0be5db,0.001361,13e875de593627cef4443f3a7bd00a2359308a55aca19cc8c038a60f4edd64d7,4.303718,0,12,10,4.303718,6942,QmY6phDrB9D1cmeifYXNvc6sEBmz9Ai8sEZWDTSuBSaSKs,,0.323479,model_v1_1770928718_c37d777f,,9788606,0.323479,QmarG65KrJm4ejyG6Ky9NV22Cs9dyVLhGW3uZ68JassFtv,0.031581,model_v12_1770929611_2a0be5db,9775284,0.031581,36.232719,4.428493,20.512650,model_v12_1770929611_2a0be5db,4.428493,11
1862712,6,13081616,15740376,2026-02-12T20:54:53Z,caltech101,true,100,10,10,98.000000,6.580000,0,1044480,0.555745,5765122048.000000,5767589888,5762654208,9939267,9808505,2,0.001325,false,0.001325,0.012090,model_v1_1770928718_c37d777f,0.012090,0.006976,1,0.006976,0.001184,model_v13_1770929687_eb50fc3a,0.001184,tx_validation_model_v13_1770929687_eb50fc3a,0.001611,13,model_v13_1770929687_eb50fc3a,0.001611,933013b4b139a7ba8b3c4284912aa277fa6e480e52fa4c4bd6ffaba6a1394d96,4.378249,0,13,10,4.378249,6942,QmUp6j7ANqg6ywEKCPQWL89itaDt4J9eGxHUWmDAS9Tm9o,,0.456931,,,9788634,0.456931,QmSWz142eshRdAtpoBQ6w16uJeQPA5BhHkqUtSgR9yi6JQ,0.027498,model_v13_1770929687_eb50fc3a,9773051,0.027498,36.923963,4.385497,21.609972,model_v13_1770929687_eb50fc3a,4.385497,12
1037184,7,13081616,17769368,2026-02-12T20:56:10Z,caltech101,true,100,10,10,98.000000,6.940000,0,929792,0.589704,5736382464.000000,5745283072,5727481856,10015873,9832989,2,0.001593,false,0.001593,0.013583,model_v1_1770928718_c37d777f,0.013583,0.172686,1,0.172686,0.001447,model_v14_1770929764_cd939bce,0.001447,tx_validation_model_v14_1770929764_cd939bce,0.001172,14,model_v14_1770929764_cd939bce,0.001172,a5470a0610cb8ce992e2050f74c5743f0e1218ef7d62d6617a1a3d50404d1f32,4.590032,0,14,10,4.590032,6942,QmVvjjmJUQdB9Y9VD4YC3YiSsqza319QeVGxKntT53WfYy,parent_weights,0.344491,,model_v0_initial_1770928645_a2751f39,9779663,0.344491,QmaJtsET3Q6aZ1YuKTuGW1jwFTKLg3P7rU1ota88oALcSg,0.037107,model_v14_1770929764_cd939bce,9770876,0.037107,37.672811,4.518428,22.572240,model_v14_1770929764_cd939bce,4.518428,13
3166584,7,13081616,19898768,2026-02-12T20:57:33Z,caltech101,true,100,10,10,98.000000,6.630000,0,950272,0.563111,5782638592.000000,5801635840,5763641344,10024884,9830511,2,0.001372,false,0.001372,0.010355,model_v1_1770928718_c37d777f,0.010355,0.001250,1,0.001250,0.002070,model_v15_1770929847_12087444,0.002070,tx_validation_model_v15_1770929847_12087444,0.001409,15,model_v15_1770929847_12087444,0.001409,f839e5507a32c20214dfdb0a6cb35ea5f0ebefe15101ad3cbb82507028324486,4.769829,0,15,10,4.769829,6942,QmYghtABBxPdiojLWX4TGstFUnR7n2jxpuWdP4KwTA1zDg,,0.335927,,,9787655,0.335927,QmcX85MZgYUamUsEg4aGFVHfURLEcRG6bith8xwcWZoYGp,0.020737,model_v15_1770929847_12087444,9769931,0.020737,39.170507,5.302176,23.265700,model_v15_1770929847_12087444,5.302176,14
2626296,8,13081616,22406088,2026-02-12T20:59:16Z,caltech101,true,100,10,10,98.000000,6.470000,0,1081344,0.546887,5805928448.000000,5832286208,5779570688,10051280,9831968,2,0.001256,false,0.001256,0.009259,model_v1_1770928718_c37d777f,0.009259,0.007850,2,0.007850,0.001545,model_v16_1770929950_c9f796a6,0.001545,tx_validation_model_v16_1770929950_c9f796a6,0.001467,16,model_v16_1770929950_c9f796a6,0.001467,ec93d760b4c51dfb2eb4e8f5763a41a066dea7fbefeb6402024058aace933c10,4.805330,0,16,10,4.805330,6942,QmQEFrZjVcdpScDDxgx11RoWMmL6CMtzp1Ujo96XhRrGTJ,,0.324663,,,9788363,0.324663,QmQuq8HKtHkCFE2Hf6KPVzXXktechmfuj9oEhiQsGHQ6Xh,0.021852,model_v16_1770929950_c9f796a6,9768522,0.021852,40.495392,4.403466,23.955920,model_v16_1770929950_c9f796a6,4.403466,15
1928224,9,13081616,24779808,2026-02-12T21:00:31Z,caltech101,true,100,10,10,98.000000,6.190000,0,1146880,0.524067,5813553152.000000,5817126912,5809979392,9978613,9804014,2,0.001315,false,0.001315,0.010527,model_v1_1770928718_c37d777f,0.010527,0.002083,2,0.002083,0.001215,model_v17_1770930025_226313bb,0.001215,tx_validation_model_v17_1770930025_226313bb,0.001046,17,model_v17_1770930025_226313bb,0.001046,dc1b5bdf497b1229f0f33ba1f415d0e9e7012916be88d7ec0ff6a3721906695a,4.244582,0,17,10,4.244582,6942,QmWUjo1oDDdAJmtZgZWwPtkJMP2kapB29ZXzET5vyHmdP9,,0.317282,,,9787656,0.317282,QmZhKUsDSrAdaGxtisXiXPSi4LDBJKFyYHfedi3jKB7erw,0.026643,model_v17_1770930025_226313bb,9766910,0.026643,40.495392,4.463408,24.347131,model_v17_1770930025_226313bb,4.463408,16
1414728,10,13081616,27187464,2026-02-12T21:01:47Z,caltech101,true,100,10,10,98.000000,6.350000,0,991232,0.538069,5803040768.000000,5820329984,5785751552,9985251,9815749,2,0.001386,false,0.001386,0.012573,model_v1_1770928718_c37d777f,0.012573,0.011779,2,0.011779,0.001321,model_v18_1770930101_108686c0,0.001321,tx_validation_model_v18_1770930101_108686c0,0.001368,18,model_v18_1770930101_108686c0,0.001368,e941fcf9b9b7840fd9f7ecfbc7d053403a3e54de28c1a92ded96eda334ccb2cd,4.363615,0,18,10,4.363615,6942,QmVL3iz6db2t62up5iFc66o9Hqx1eaNVxksGqHuxY6Qtx1,,0.316975,,,9788061,0.316975,QmP6advpK8jhGdJrPfFgMMevnB4SYzfpNnKYFkcU9LsBgG,0.031364,model_v18_1770930101_108686c0,9766613,0.031364,40.380184,4.549678,25.197124,model_v18_1770930101_108686c0,4.549678,17
999224,11,13343760,29773008,2026-02-12T21:03:09Z,caltech101,true,100,10,10,98.000000,6.480000,0,1114112,0.548765,5782538240.000000,5786243072,5778833408,9984378,9810740,2,0.001415,false,0.001415,0.005507,model_v1_1770928718_c37d777f,0.005507,0.005918,2,0.005918,0.001453,model_v19_1770930183_9d677dd6,0.001453,tx_validation_model_v19_1770930183_9d677dd6,0.001031,19,model_v19_1770930183_9d677dd6,0.001031,61352c107623e20b99d3fd1c85c5dfdf9936033514f51088c52b3f17301205fd,4.434474,0,19,10,4.434474,6942,QmUQD9X2tD536bPUbsNNbZb8Q3jdFiC5DyrZ3YhANPuhND,,0.315861,,,9788543,0.315861,QmfT2ASb2vXeRqGstL5GzxPZXoqBFJZ29vY15e1S658L1Y,0.031208,model_v19_1770930183_9d677dd6,9764228,0.031208,41.244240,4.616364,26.153176,model_v19_1770930183_9d677dd6,4.616364,18
1182800,12,13343760,32666192,2026-02-12T21:04:31Z,caltech101,true,100,10,10,98.000000,7.170000,0,974848,0.610644,5812461568.000000,5834510336,5790412800,10012129,9816442,2,0.001363,false,0.001363,0.118312,model_v1_1770928718_c37d777f,0.118312,0.002861,2,0.002861,0.002319,model_v20_1770930265_84ea7782,0.002319,tx_validation_model_v20_1770930265_84ea7782,0.001420,20,model_v20_1770930265_84ea7782,0.001420,f3b2e397955d8bf50597dc4277dc1bcd96531b70120387863c7555ba9f207d48,4.382723,0,20,10,4.382723,6942,QmQoKYzeZDc4YDsAPuFt2UDMJQm2XzfhbTp62nCzXc6J6k,,0.321565,,,9787811,0.321565,QmZbBaG82QAAJChXAwbcFiYEY2NNWkDy5wr5S4C5qZwaUp,0.020619,model_v20_1770930265_84ea7782,9762818,0.020619,42.511521,4.739396,26.823150,model_v20_1770930265_84ea7782,4.739396,19
