blockchain_service_memory_alloc_bytes (bytes),blockchain_service_memory_num_gc,blockchain_service_memory_sys_bytes (bytes),blockchain_service_memory_total_alloc_bytes (bytes),blockchain_service_timestamp,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_get_most_recent_rollback_duration (seconds),timing_blockchain_get_most_recent_rollback_found,timing_blockchain_get_most_recent_rollback_total_duration (seconds),timing_blockchain_get_provenance_duration (seconds),timing_blockchain_get_provenance_model_version_id,timing_blockchain_get_provenance_total_duration (seconds),timing_blockchain_list_models_duration (seconds),timing_blockchain_list_models_total,timing_blockchain_list_models_total_duration (seconds),timing_blockchain_record_validation_duration (seconds),timing_blockchain_record_validation_model_version_id,timing_blockchain_record_validation_total_duration (seconds),timing_blockchain_record_validation_transaction_id,timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_total_duration (seconds),timing_blockchain_register_transaction_id,timing_blockchain_rollback_duration (seconds),timing_blockchain_rollback_target_version_id,timing_blockchain_rollback_total_duration (seconds),timing_blockchain_rollback_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_duration (seconds),timing_fedavg_aggregation_total_samples,timing_ipfs_download_cid,timing_ipfs_download_context,timing_ipfs_download_duration (seconds),timing_ipfs_download_model_version_id,timing_ipfs_download_parent_version_id,timing_ipfs_download_size_bytes (bytes),timing_ipfs_download_total_duration (seconds),timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_ipfs_upload_total_duration (seconds),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_model_validation_total_duration (seconds),timing_sample_index
832080,25,13343760,62044104,2026-02-13T16:24:36Z,caltech101,true,100,10,10,98.000000,6.330000,0,1032192,0.537496,6055643136.000000,6067965952,6043320320,9963748,9782703,2,0.001431,true,0.001431,0.002623,model_v3_1770997316_9c723768,0.002623,0.007267,4,0.007267,0.001354,model_v34_1770999870_1cf72eae,0.001354,tx_validation_model_v34_1770999870_1cf72eae,0.001199,34,model_v34_1770999870_1cf72eae,0.001199,b0c9edd027fe85576a3960511e713775406839aa194a0f4f9f137bcf96235db5,,,0.000000,,4.322475,0,34,10,4.322475,6940,QmdejDbXqKfUoiBx7oSHe2Waim5CZgJbAwK4vNEviWp5WB,,0.324615,,,9786147,0.324615,QmPoz1xXhdxM2AsLumc8FsyrGMU6D8diywg2b78dpzYKjQ,0.027772,model_v34_1770999870_1cf72eae,9751284,0.027772,44.700461,4.505404,37.896557,model_v34_1770999870_1cf72eae,4.505404,33
1727488,27,13343760,67296312,2026-02-13T16:26:00Z,caltech101,true,100,10,10,98.000000,6.120000,0,937984,0.516642,6139230208.000000,6140178432,6138281984,10077918,10003226,2,0.001292,true,0.001292,0.007821,model_v3_1770997316_9c723768,0.007821,0.003657,4,0.003657,0.001225,model_v35_1770999954_a7003d8f,0.001225,tx_validation_model_v35_1770999954_a7003d8f,0.001117,35,model_v35_1770999954_a7003d8f,0.001117,af19fdd7935c21bf84fe70246c353ee6661f2f9fa8af184d3f2278fb2727240c,,,0.000000,,4.383637,0,35,10,4.383637,6940,QmNt8Fb3X2Krpfccf6nBbdvhUV5xjR7TtDppk7tKkZD2gR,,0.314640,,,9786506,0.314640,QmeNP8GRJdHxqMGEreaaCN4UbbXqfCEt5W3367frCwtBmb,0.024034,model_v35_1770999954_a7003d8f,9750203,0.024034,44.642857,4.433053,38.735318,model_v35_1770999954_a7003d8f,4.433053,34
2313272,29,13343760,72402056,2026-02-13T16:27:20Z,caltech101,true,100,10,10,98.000000,6.270000,0,1142784,0.527841,6153592832.000000,6160232448,6146953216,10020062,9789311,2,0.001312,true,0.001312,0.016660,model_v3_1770997316_9c723768,0.016660,0.028607,4,0.028607,0.001334,model_v36_1771000035_5983c444,0.001334,tx_validation_model_v36_1771000035_5983c444,0.001508,36,model_v36_1771000035_5983c444,0.001508,0260d65d8ae2285a679f90d79fe1c63d238b8def7b80f2ef59475d21b69c3942,,,0.000000,,4.384276,0,36,10,4.384276,6940,QmTbAWBvpc3MaS3JnwccUfbq4VvBUqPBGnRgtjMtVPKQhE,,0.321737,,,9783678,0.321737,QmSCyrPBmCJmMV4ysXECd2UjnvB5CDcAEhXkWFZwEQtFjX,0.036621,model_v36_1771000035_5983c444,9749674,0.036621,44.700461,4.404357,38.993814,model_v36_1771000035_5983c444,4.404357,35
2068888,31,13343760,77333776,2026-02-13T16:28:37Z,caltech101,true,100,10,10,98.000000,6.440000,0,966656,0.545599,6147377152.000000,6150213632,6144540672,10107649,9806693,2,0.001427,true,0.001427,0.010763,model_v3_1770997316_9c723768,0.010763,0.000598,4,0.000598,0.001546,model_v37_1771000111_04ca8fd0,0.001546,tx_validation_model_v37_1771000111_04ca8fd0,0.001211,37,model_v37_1771000111_04ca8fd0,0.001211,59000de72ebe52cbed7813bb20d77238a696779bd0a7c65692b8f9d02ef07e56,,,0.000000,,4.429246,0,37,10,4.429246,6940,QmdejDbXqKfUoiBx7oSHe2Waim5CZgJbAwK4vNEviWp5WB,,0.312225,,,9786147,0.312225,QmRrXfLMaeXVX57wq16jKHcdb56pYEzvYMps9QhVsrmnoD,0.022173,model_v37_1771000111_04ca8fd0,9749546,0.022173,44.700461,4.473038,39.839855,model_v37_1771000111_04ca8fd0,4.473038,36
1757064,33,13343760,82648736,2026-02-13T16:29:59Z,caltech101,true,100,10,10,98.000000,7.140000,0,1261568,0.605100,6204385280.000000,6220419072,6188351488,10098300,9845079,2,0.001536,true,0.001536,0.002075,model_v3_1770997316_9c723768,0.002075,0.000624,4,0.000624,0.001255,model_v38_1771000193_e3945951,0.001255,tx_validation_model_v38_1771000193_e3945951,0.001225,38,model_v38_1771000193_e3945951,0.001225,6bfd74a92748cd72e5df31d4a84849e29f1089befc0d6993bf36f5627e7fd4bb,,,0.000000,,4.228332,0,38,10,4.228332,6940,QmTbAWBvpc3MaS3JnwccUfbq4VvBUqPBGnRgtjMtVPKQhE,,0.314887,,,9783678,0.314887,QmeCyiRkPxQaQtMbZVUUqUDEwDUT1dTyQXb2abu13XkPTP,0.045124,model_v38_1771000193_e3945951,9748619,0.045124,45.334101,4.295964,41.413717,model_v38_1771000193_e3945951,4.295964,37
1518112,35,13343760,87663680,2026-02-13T16:31:15Z,caltech101,true,100,10,10,98.000000,7.110000,0,1159168,0.603533,5974212608.000000,5986344960,5962080256,10065724,9811262,2,0.001423,true,0.001423,0.000587,model_v0_initial_1770997015_f00c4e31,0.000587,0.037198,5,0.037198,0.001477,model_v39_1771000270_cf46aa7c,0.001477,tx_validation_model_v39_1771000270_cf46aa7c,0.001485,39,model_v39_1771000270_cf46aa7c,0.001485,5ef1f519419c673baa4ea4c3c6e0c6d92b14fcbf48e7192c964717f8e4d82e8a,,,0.000000,,4.581515,0,39,10,4.581515,6940,QmTaKSYf2QGoQ1i3DtAo61aYQ8weDAYpiwUYdZgxdcLT1K,,0.322416,,,9787363,0.322416,QmbbkuRFchN7w2wMEEkQVbrpbwTHUT5rSQUjnw7cVR9uqy,0.020979,model_v39_1771000270_cf46aa7c,9747911,0.020979,45.737327,4.417137,42.569300,model_v39_1771000270_cf46aa7c,4.417137,38
2244176,37,13343760,93510128,2026-02-13T16:32:39Z,caltech101,true,100,10,10,98.000000,6.310000,0,851968,0.529695,6166939648.000000,6174875648,6159003648,10085430,9806981,2,0.001533,true,0.001533,0.003155,model_v3_1770997316_9c723768,0.003155,0.077066,5,0.077066,0.001545,model_v40_1771000353_8c1ce1b5,0.001545,tx_validation_model_v40_1771000353_8c1ce1b5,0.001228,40,model_v40_1771000353_8c1ce1b5,0.001228,ca765ce69edd0f744cca08b832cc3f48635117a381b67e6f7f1e019e3d93eb2a,,,0.000000,,4.315146,0,40,10,4.315146,6940,QmZvZAiGmEXRyVn6we684D7FRUshdvjteSKAG36tybvoiH,,0.308901,,,9786844,0.308901,QmaLUBGV2UWqbw6BsDzF2RmrvLYJGAHPNSpo6nsHiBn6gn,0.031572,model_v40_1771000353_8c1ce1b5,9747028,0.031572,45.506912,4.633474,42.558390,model_v40_1771000353_8c1ce1b5,4.633474,39
2417336,39,13343760,99038488,2026-02-13T16:34:00Z,caltech101,true,100,10,10,98.000000,6.680000,0,1179648,0.566408,6216957952.000000,6223536128,6210379776,10002518,9776391,2,0.001365,true,0.001365,0.001997,model_v3_1770997316_9c723768,0.001997,0.000705,5,0.000705,0.001427,model_v41_1771000434_62afdacd,0.001427,tx_validation_model_v41_1771000434_62afdacd,0.001240,41,model_v41_1771000434_62afdacd,0.001240,c3ba0d8b6de14b4c844dc35c3c4538e45da4f6effbfab657b7ca9dd01a6312a9,,,0.000000,,4.325248,0,41,10,4.325248,6940,QmZvZAiGmEXRyVn6we684D7FRUshdvjteSKAG36tybvoiH,,0.311933,,,9786844,0.311933,QmPhJMCgFY3Y6XopBxQV4havUYDMSKhv8c3LBkzGEHEQ9S,0.020318,model_v41_1771000434_62afdacd,9746316,0.020318,45.161290,4.550841,42.736418,model_v41_1771000434_62afdacd,4.550841,40
2497224,41,13343760,104538240,2026-02-13T16:35:18Z,caltech101,true,100,10,10,98.000000,6.590000,0,1036288,0.559822,6111940608.000000,6115176448,6108704768,9990371,9779935,2,0.001513,true,0.001513,0.001518,model_v4_1770997398_adc42d9c,0.001518,0.000609,5,0.000609,0.001761,model_v42_1771000512_fc936371,0.001761,tx_validation_model_v42_1771000512_fc936371,0.001289,42,model_v42_1771000512_fc936371,0.001289,8dc5e3aa6961abdab14ec229cbabf2308fefb3ed3a044ed65b136d1bdc22ffd2,,,0.000000,,4.360881,0,42,10,4.360881,6940,QmbxQYNzgBJsH45VGho3Wkyjj3uGdKjkW8v9VxTDb4bdi2,blockchain_write,0.346605,,,9786390,0.346605,QmaExSCKCBarWRL6ypprBSPVVHJNNg2CGoVBtboqp24W8W,0.024317,model_v42_1771000512_fc936371,9746180,0.024317,45.622120,4.513784,43.939369,model_v42_1771000512_fc936371,4.513784,41
2586120,43,13343760,109988656,2026-02-13T16:36:37Z,caltech101,true,100,10,10,98.000000,6.720000,0,1060864,0.564882,6173607936.000000,6188527616,6158688256,10090625,9793079,2,0.004262,true,0.004262,0.033892,model_v4_1770997398_adc42d9c,0.033892,0.006178,6,0.006178,0.001694,model_v43_1771000591_d6ea9d23,0.001694,tx_validation_model_v43_1771000591_d6ea9d23,0.001405,43,model_v43_1771000591_d6ea9d23,0.001405,a726bfcabefcbd1fec0c5533c536bad8510febff341fdf5a45f6ae87ce5fac3c,,,0.000000,,4.398666,0,43,10,4.398666,6940,QmbxQYNzgBJsH45VGho3Wkyjj3uGdKjkW8v9VxTDb4bdi2,,0.366380,model_v3_1770997316_9c723768,,9786390,0.366380,QmRdA1AQDdkBtZSXrK2LzGsRGrkh1hQvzdJsEg7sksCCHU,0.034779,model_v43_1771000591_d6ea9d23,9745266,0.034779,45.967742,4.467662,44.391476,model_v43_1771000591_d6ea9d23,4.467662,42
