scenario_blockchain_enabled,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_samples,timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_sample_index
true,,true,100,10,10,98.000000,6.430000,0,1191936,0.548643,6170738688.000000,6212399104,6129078272,9659650,9532105,2,0.007207393646240234,12,model_v12_1770494650_85e727d3,tx_model_v12_1770494650_85e727d3,4.454059839248657,0,12,10,7291,QmYmrvrCQgRZifwQdbiAeoPwJRkJg3xYPPUrFVdMmxYxMi,0.021616697311401367,model_v12_1770494650_85e727d3,9482534,92.526158,0.18598675727844238,3.582957,model_v12_1770494650_85e727d3,11
true,,true,100,10,10,98.000000,8.280000,0,1069056,0.714842,6062839808.000000,6071463936,6054215680,9735713,9532356,2,0.043247222900390625,13,model_v13_1770494666_cd82442d,tx_model_v13_1770494666_cd82442d,4.378300905227661,0,13,10,7291,QmSGmVb98BSDvy2LF5dmbkL3yJspMJMRFZWo8jo5h4KfBw,0.038964271545410156,model_v13_1770494666_cd82442d,9480793,92.675635,0.23309588432312012,3.565876,model_v13_1770494666_cd82442d,12
true,,true,100,10,10,98.000000,6.740000,0,1032192,0.573685,6065453056.000000,6080606208,6050299904,9708960,9533918,2,0.005763530731201172,14,model_v14_1770494682_19aa224c,tx_model_v14_1770494682_19aa224c,4.597495079040527,0,14,10,7291,QmUa7FY3rx9Lwyr8kLZ7QdiUkUxkYkPRVhFyuiSnPZVDq9,0.02275252342224121,model_v14_1770494682_19aa224c,9480455,93.173891,0.20242023468017578,3.594112,model_v14_1770494682_19aa224c,13
true,,true,100,10,10,98.000000,6.640000,0,1196032,0.564667,6101239808.000000,6110842880,6091636736,9751226,9532456,2,0.0066318511962890625,15,model_v15_1770494698_312e8019,tx_model_v15_1770494698_312e8019,4.65924859046936,0,15,10,7291,QmUKRfqWUvDhGwjLGtRqYLZr2vvkf1t4E7oSEE3ymnrtRq,0.020906686782836914,model_v15_1770494698_312e8019,9479717,93.124066,0.2137305736541748,3.623102,model_v15_1770494698_312e8019,14
true,,true,100,10,10,98.000000,7.820000,0,946176,0.668675,6131349504.000000,6143123456,6119575552,9699992,9527866,2,0.007321357727050781,16,model_v16_1770494720_1dda4e09,tx_model_v16_1770494720_1dda4e09,4.7154622077941895,0,16,10,7291,QmSjugmeJbEeeGK53faKismMwvGu4FH96JchprpwEPMKtb,0.034607887268066406,model_v16_1770494720_1dda4e09,9478073,93.074240,0.19490504264831543,3.703281,model_v16_1770494720_1dda4e09,15
true,,true,100,10,10,98.000000,9.430000,0,962560,0.794034,6156435456.000000,6179102720,6133768192,9630296,9508115,2,0.00497889518737793,17,model_v17_1770494741_65f6a027,tx_model_v17_1770494741_65f6a027,4.33790397644043,0,17,10,7291,QmY2Ab7L8cjyVMTcLLkStS3BSkJV5ayTSKorbyTiKRwa6Y,0.03081822395324707,model_v17_1770494741_65f6a027,9477982,93.323368,0.2225661277770996,3.796200,model_v17_1770494741_65f6a027,16
true,,true,100,10,10,98.000000,6.280000,0,1056768,0.532292,6202851328.000000,6243000320,6162702336,9634126,9509643,2,0.006581783294677734,18,model_v18_1770494758_a44a638e,tx_model_v18_1770494758_a44a638e,4.551745653152466,0,18,10,7291,QmbT7PhWnNE6JV9xiAVreZKxS5GJZFT2eXjNobaQRm8146,0.03465628623962402,model_v18_1770494758_a44a638e,9476678,93.472845,0.21102643013000488,3.845885,model_v18_1770494758_a44a638e,17
true,,true,100,10,10,98.000000,6.690000,0,937984,0.572044,6106970112.000000,6133780480,6080159744,9584951,9532728,2,0.004925251007080078,19,model_v19_1770494778_accaed6b,tx_model_v19_1770494778_accaed6b,4.7719762325286865,0,19,10,7291,QmR9XaybAh528qCRpLBCiaZDXHizosH69W59Hp1DTacbzR,0.030405521392822266,model_v19_1770494778_accaed6b,9475503,93.373194,0.22747039794921875,3.839602,model_v19_1770494778_accaed6b,18
true,,true,100,10,10,98.000000,7.160000,0,1298432,0.609287,6168829952.000000,6206246912,6131412992,9784024,9537206,2,0.006085872650146484,20,model_v20_1770494795_ae85100c,tx_model_v20_1770494795_ae85100c,4.518712759017944,0,20,10,7291,QmSJrTzGL8pe3fwLidWHnSKiDn3DLrxCVtdRrMzaJBQFkW,0.022103548049926758,model_v20_1770494795_ae85100c,9475021,93.423019,0.20657944679260254,3.891020,model_v20_1770494795_ae85100c,19
true,,true,100,10,10,98.000000,7.430000,0,1232896,0.631906,6142797824.000000,6156652544,6128943104,9700502,9521888,2,0.007833003997802734,21,model_v21_1770494811_2d2cec09,tx_model_v21_1770494811_2d2cec09,4.895460844039917,0,21,10,7291,QmYRkPNbaL4ZHJTzVSkyZ4wWnuLzzti5dmBgT79wefnEvc,0.02163839340209961,model_v21_1770494811_2d2cec09,9474351,93.323368,0.23794341087341309,3.972891,model_v21_1770494811_2d2cec09,20
true,,true,100,10,10,98.000000,7.720000,0,1036288,0.654914,6179287040.000000,6201978880,6156595200,9727152,9522320,2,0.006841421127319336,22,model_v22_1770494834_28c46af3,tx_model_v22_1770494834_28c46af3,5.22088098526001,0,22,10,7291,QmWqnGPT3Bq14cpgPDeMuxKUrRcLYnFN7Yehgsq1TUnPjk,0.020438432693481445,model_v22_1770494834_28c46af3,9473793,93.672147,0.23984813690185547,4.046030,model_v22_1770494834_28c46af3,21
true,,true,100,10,10,98.000000,6.460000,0,1236992,0.546732,6108960768.000000,6139035648,6078885888,9705545,9510582,2,0.006638288497924805,23,model_v23_1770494850_d7d62316,tx_model_v23_1770494850_d7d62316,4.375774145126343,0,23,10,7291,QmSj2JfZnBeGGNrDo13eZw4tbcj8PbvFQUH9CSjZPuxmwC,0.019055843353271484,model_v23_1770494850_d7d62316,9472257,93.771799,0.20256495475769043,4.117609,model_v23_1770494850_d7d62316,22
true,,true,100,10,10,98.000000,7.200000,0,1073152,0.611147,6219243520.000000,6234001408,6204485632,9758745,9513966,2,0.005120277404785156,24,model_v24_1770494865_380de13b,tx_model_v24_1770494865_380de13b,4.339592933654785,0,24,10,7291,QmXYKNRL1fxhpCQpaiwtKMTC8YjP3BtpoV4ibW67jbMag1,0.022139310836791992,model_v24_1770494865_380de13b,9472329,93.771799,0.19315147399902344,4.077025,model_v24_1770494865_380de13b,23
