blockchain_service_memory_alloc_bytes (bytes),blockchain_service_memory_num_gc,blockchain_service_memory_sys_bytes (bytes),blockchain_service_memory_total_alloc_bytes (bytes),blockchain_service_timestamp,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_get_most_recent_rollback_duration (seconds),timing_blockchain_get_most_recent_rollback_found,timing_blockchain_get_most_recent_rollback_total_duration (seconds),timing_blockchain_get_provenance_duration (seconds),timing_blockchain_get_provenance_model_version_id,timing_blockchain_get_provenance_total_duration (seconds),timing_blockchain_list_models_duration (seconds),timing_blockchain_list_models_total,timing_blockchain_list_models_total_duration (seconds),timing_blockchain_record_validation_duration (seconds),timing_blockchain_record_validation_model_version_id,timing_blockchain_record_validation_total_duration (seconds),timing_blockchain_record_validation_transaction_id,timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_total_duration (seconds),timing_blockchain_register_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_duration (seconds),timing_fedavg_aggregation_total_samples,timing_ipfs_download_cid,timing_ipfs_download_context,timing_ipfs_download_duration (seconds),timing_ipfs_download_model_version_id,timing_ipfs_download_parent_version_id,timing_ipfs_download_size_bytes (bytes),timing_ipfs_download_total_duration (seconds),timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_ipfs_upload_total_duration (seconds),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_model_validation_total_duration (seconds),timing_sample_index
807040,4,13409296,11843096,2026-02-12T20:11:30Z,cifar10,true,100,10,10,98.000000,6.420000,0,995328,0.546268,8120279040.000000,8128610304,8111947776,9582933,9463792,2,0.001324,false,0.001324,0.000421,model_v0_initial_1770926455_c3d6582b,0.000421,0.010598,2,0.010598,0.001299,model_v15_1770927087_9e038b0a,0.001299,tx_validation_model_v15_1770927087_9e038b0a,0.001669,15,model_v15_1770927087_9e038b0a,0.001669,0148ac1a8d7d2991cc26217aef5de212c179bd2bb3a703fb5eac72b23d03f905,4.291063,0,15,10,4.291063,50000,QmfCyBTHG87fL3Uu8dvxy8vY6sENeDwpoJtjh2uUcMoYwM,,0.312181,,,9512873,0.312181,QmVGJnLbNdqQX4y8p6HeGjWaW5XWDSUBw1GtMqLe1VFpMh,0.052767,model_v15_1770927087_9e038b0a,9426642,0.052767,65.170000,1.621661,7.772268,model_v15_1770927087_9e038b0a,1.621661,14
1971928,4,13409296,13007984,2026-02-12T20:12:11Z,cifar10,true,100,10,10,98.000000,6.100000,0,1191936,0.519610,8165150720.000000,8167440384,8162861056,9620286,9468206,2,0.001225,false,0.001225,0.002671,model_v1_1770926499_a0ccf39e,0.002671,0.013321,2,0.013321,0.001984,model_v16_1770927128_f98c679b,0.001984,tx_validation_model_v16_1770927128_f98c679b,0.001174,16,model_v16_1770927128_f98c679b,0.001174,49746baa3a402eb2c151464bb7186f5084603628f3e4e2df1d8a14e2e8662164,4.397819,0,16,10,4.397819,50000,QmdqYGN8tB8LocSnteUV2EdsTUpbHHLqUbvyw3LwLCgRAW,,0.319511,,,9512961,0.319511,QmcLeDgk2n4usHtJQyXdjGqq1hd52s1aY1WFD4uNwNSoDD,0.021506,model_v16_1770927128_f98c679b,9422344,0.021506,65.620000,1.703960,7.837198,model_v16_1770927128_f98c679b,1.703960,15
655184,5,13409296,14518504,2026-02-12T20:12:58Z,cifar10,true,100,10,10,98.000000,5.850000,0,1085440,0.495965,8129806336.000000,8135004160,8124608512,9593356,9463180,2,0.001337,false,0.001337,0.001403,model_v1_1770926499_a0ccf39e,0.001403,0.007121,2,0.007121,0.001336,model_v17_1770927175_a5604f2b,0.001336,tx_validation_model_v17_1770927175_a5604f2b,0.001222,17,model_v17_1770927175_a5604f2b,0.001222,edda16821ed2650456bcdea3683521303762d62dbb9076909cbb3486dde24f61,4.159239,0,17,10,4.159239,50000,QmU8YEs3sS8ZwWs3Jqen3Ah7RvqSmiuASmxUYDyFw7RBSo,,0.298261,,,9513815,0.298261,QmXUYtwbux3ZhfTaenir7568VixCACv6CCA79sAmoyYisr,0.028539,model_v17_1770927175_a5604f2b,9418998,0.028539,65.970000,1.714165,7.931564,model_v17_1770927175_a5604f2b,1.714165,16
1965600,5,13409296,15828920,2026-02-12T20:13:38Z,cifar10,true,100,10,10,98.000000,5.720000,0,1122304,0.481453,8154474496.000000,8159617024,8149331968,9604605,9461263,2,0.001493,false,0.001493,0.005747,model_v2_1770926539_2b94c304,0.005747,0.002145,2,0.002145,0.001350,model_v18_1770927215_c2037394,0.001350,tx_validation_model_v18_1770927215_c2037394,0.001332,18,model_v18_1770927215_c2037394,0.001332,4ea46cc0b9a538640ab32c8c91d2653091bb9b5c075dc42c0067352d2bd6908d,4.110431,0,18,10,4.110431,50000,QmfCyBTHG87fL3Uu8dvxy8vY6sENeDwpoJtjh2uUcMoYwM,,0.306067,,,9512873,0.306067,QmfAHZeTCb4sg4PuHJA7ahXHgzngtybknw81KA2mVUMQb6,0.019961,model_v18_1770927215_c2037394,9415467,0.019961,66.080000,1.560648,8.085164,model_v18_1770927215_c2037394,1.560648,17
502088,6,13409296,17207136,2026-02-12T20:14:18Z,cifar10,true,100,10,10,98.000000,5.880000,0,1159168,0.498866,8197296128.000000,8204533760,8190058496,9567337,9446827,2,0.001385,false,0.001385,0.001499,model_v2_1770926539_2b94c304,0.001499,0.000572,2,0.000572,0.001258,model_v19_1770927255_011c590b,0.001258,tx_validation_model_v19_1770927255_011c590b,0.001361,19,model_v19_1770927255_011c590b,0.001361,68314f6b74ea1b4118f4d8088f68ab04eadfc92a3ee849b3cdcbd7659aaee664,4.024384,0,19,10,4.024384,50000,QmWgQA2PubtmhD7NR1who7pHYssoEE5hoRTub4z5Xm4yaf,,0.303257,,,9508487,0.303257,QmQzrdoKfzmftMc8HihtYURrkqazepR7PTDAY9178a8qcU,0.031980,model_v19_1770927255_011c590b,9412211,0.031980,66.510000,1.637274,8.090829,model_v19_1770927255_011c590b,1.637274,18
1988088,6,13409296,18693136,2026-02-12T20:14:57Z,cifar10,true,100,10,10,98.000000,5.770000,0,958464,0.488549,8159520768.000000,8168886272,8150155264,9640034,9467305,2,0.001280,false,0.001280,0.018745,model_v2_1770926539_2b94c304,0.018745,0.003045,3,0.003045,0.001358,model_v20_1770927295_a8284c02,0.001358,tx_validation_model_v20_1770927295_a8284c02,0.001088,20,model_v20_1770927295_a8284c02,0.001088,4f643c1b0772c9e09a91847680a437f4ae4e059195d497e306c17734ce28d18b,4.063248,0,20,10,4.063248,50000,QmdqYGN8tB8LocSnteUV2EdsTUpbHHLqUbvyw3LwLCgRAW,,0.300263,,,9512961,0.300263,QmSp3bheTnf6BGMbeH1h5Q4DRxZo3ah8AGPu7uEY7hqLNe,0.027518,model_v20_1770927295_a8284c02,9409365,0.027518,66.740000,1.594326,8.086706,model_v20_1770927295_a8284c02,1.594326,19
734400,7,13409296,20203592,2026-02-12T20:15:37Z,cifar10,true,100,10,10,98.000000,5.810000,0,1110016,0.492812,8122931200.000000,8139288576,8106573824,9636886,9464384,2,0.001517,false,0.001517,0.003485,model_v2_1770926539_2b94c304,0.003485,0.004157,3,0.004157,0.001665,model_v21_1770927334_ea370fdb,0.001665,tx_validation_model_v21_1770927334_ea370fdb,0.001901,21,model_v21_1770927334_ea370fdb,0.001901,99516c147db6ab98e4afd4ae091e3bf83e56daeab3bec3df821d50928b1d8072,3.981709,0,21,10,3.981709,50000,QmeVoTfyKrvDPv2nCu5Jw1Yi2Hkvc4KZCBNkKNXsnX2ZaU,,0.310989,,,9513305,0.310989,QmZCYtQgaQw2dM48qBfN6bXLdehAfHgQidFzS75MRHeA4h,0.028154,model_v21_1770927334_ea370fdb,9405558,0.028154,67.060000,1.596394,8.168568,model_v21_1770927334_ea370fdb,1.596394,20
2100584,7,13409296,21569776,2026-02-12T20:16:17Z,cifar10,true,100,10,10,98.000000,5.900000,0,1155072,0.498533,8191232000.000000,8197840896,8184623104,9626637,9461757,2,0.001719,false,0.001719,0.007311,model_v2_1770926539_2b94c304,0.007311,0.018292,3,0.018292,0.001318,model_v22_1770927374_b06ce9df,0.001318,tx_validation_model_v22_1770927374_b06ce9df,0.001121,22,model_v22_1770927374_b06ce9df,0.001121,079da4df0ca05372747fd3667f5287cf3706ea6dec544a66028a0b86835a58df,4.097290,0,22,10,4.097290,50000,QmPwhsZruXm9VUdXAwmuMRNH3reriyZou4BeLJjRn4evGa,,0.295528,,,9510294,0.295528,Qme9ihRDD2MhqpUavhNnaqJ23ZT8N2f59K2VpxTXuyRnYK,0.023566,model_v22_1770927374_b06ce9df,9403207,0.023566,67.520000,1.590328,8.203065,model_v22_1770927374_b06ce9df,1.590328,21
1240376,8,13409296,23336840,2026-02-12T20:16:58Z,cifar10,true,100,10,10,98.000000,6.020000,0,1245184,0.508247,8176396288.000000,8189501440,8163291136,9683814,9447665,2,0.001663,false,0.001663,0.011710,model_v2_1770926539_2b94c304,0.011710,0.015462,3,0.015462,0.001542,model_v23_1770927415_b8348e68,0.001542,tx_validation_model_v23_1770927415_b8348e68,0.001585,23,model_v23_1770927415_b8348e68,0.001585,654801223c6ef0385920335bab91deffe2738fcf0018ff91bd41f78f8cceeaa9,4.124016,0,23,10,4.124016,50000,QmePpXVRqJn1SEsNMAqZz4ECXK1sjGp2ZJkNnJHX889Jwi,,0.301691,,,9512811,0.301691,QmRUDhkaFoGfeiQ7mb1sy71hjJhYUgEXA12ht2mGKeU1c4,0.025458,model_v23_1770927415_b8348e68,9400549,0.025458,67.870000,1.967446,8.180919,model_v23_1770927415_b8348e68,1.967446,22
3035664,8,13409296,25132128,2026-02-12T20:17:40Z,cifar10,true,100,10,10,98.000000,6.080000,0,1073152,0.514060,8160870400.000000,8166895616,8154845184,9535622,9428095,2,0.001399,false,0.001399,0.011375,model_v2_1770926539_2b94c304,0.011375,0.006424,3,0.006424,0.001580,model_v24_1770927457_10923c35,0.001580,tx_validation_model_v24_1770927457_10923c35,0.001598,24,model_v24_1770927457_10923c35,0.001598,084a1b5b423b2459c8f761c396850ede69d8a2d6f9f1a8d90edc950b34293d69,4.173461,0,24,10,4.173461,50000,Qmf1atmYVpBsrCvvZr1KwoerNCZ1CTrE4WUHroQ9DQHFm3,,0.292721,,,9512109,0.292721,QmdZNsrFGCzvFEC7VV6M87ayZZKNEZHM2JQZTZZq2Y9LWo,0.026192,model_v24_1770927457_10923c35,9397431,0.026192,67.920000,1.860644,8.263170,model_v24_1770927457_10923c35,1.860644,23
